employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Progressive,3.8,Insurance,Insurance Carriers,1937,$10+ billion (USD),Data Scientist or Senior,United States,70K,103K,"$86,450",/yr (Employer est.)
University of Michigan,4.3,Education,Colleges & Universities,1817,$5 to $10 billion (USD),QARC Statistician I,"Ann Arbor, MI",63K,87K,"$74,004",/yr (Glassdoor est.)
Ardent Eagle Solutions,4.3,Government & Public Administration,National Agencies,2012,$25 to $100 million (USD),Data Scientist/ Statistician I,"Suitland, MD",78K,110K,"$92,347",/yr (Glassdoor est.)
Simmons Prepared Foods Inc,3.8,Manufacturing,Food & Beverage Manufacturing,1949,$1 to $5 billion (USD),Senior Data Analyst,"Siloam Springs, AR",71K,106K,"$86,750",/yr (Glassdoor est.)
Enterprise Knowledge (EK),3.9,Information Technology,Information Technology Support Services,2013,$5 to $25 million (USD),Data Management Analyst,"Arlington, VA",56K,78K,"$66,370",/yr (Glassdoor est.)
Shellpoint Mortgage Servicing,3.0,Financial Services,Financial Transaction Processing,2014,$25 to $100 million (USD),Sr Data Analyst (On-site),"Greenville, SC",71K,107K,"$87,274",/yr (Glassdoor est.)
County of Riverside,3.2,Government & Public Administration,State & Regional Agencies,1893,Unknown / Non-Applicable,Public Health Data Scientist - RUHS - Research Projects and Administration,"Moreno Valley, CA",70K,112K,"$88,873",/yr (Glassdoor est.)
Purdue University,4.3,Education,Colleges & Universities,1869,Unknown / Non-Applicable,Senior Data Analyst,"West Lafayette, IN",80K,105K,"$91,766",/yr (Glassdoor est.)
Georgia Tech Research Institute,4.3,Education,Colleges & Universities,1885,$1 to $5 billion (USD),Machine Learning Graduate Research Assistant – EOSL – Summer 2024,"Atlanta, GA",57K,84K,"$69,462",/yr (Glassdoor est.)
The Unversity of Oklahoma,3.8,Education,Colleges & Universities,1890,Unknown / Non-Applicable,Endowed Associate Director of Artificial Intelligence and Advanced Computing,"Tulsa, OK",61K,95K,"$75,982",/yr (Glassdoor est.)
Realtor.com Careers,3.4,Information Technology,Computer Hardware Development,1993,Unknown / Non-Applicable,Senior Data Scientist - Programmatic Advertising,"Austin, TX",80K,114K,"$95,175",/yr (Glassdoor est.)
Triunity Software,4.9,Information Technology,Information Technology Support Services,2021,$1 to $5 million (USD),Training and Placement in Gen AI,"Basking Ridge, NJ",74K,118K,"$93,689",/yr (Glassdoor est.)
University of Michigan,4.3,Education,Colleges & Universities,1817,$5 to $10 billion (USD),Cancer Data Science Program Manager - Rogel Cancer Center,"Ann Arbor, MI",86K,106K,"$96,154",/yr (Employer est.)
UC San Diego Health,3.8,Healthcare,Health Care Services & Hospitals,1966,Unknown / Non-Applicable,Statistician- Hybrid/Remote,"San Diego, CA",32.00,34.00,$33.00,/hr (Employer est.)
Johns Hopkins University,4.0,Education,Colleges & Universities,1876,$1 to $5 billion (USD),Senior Research Data Analyst,"Baltimore, MD",55K,97K,"$75,900",/yr (Employer est.)
,4.1,,,,,Data Scientist,"Pasadena, CA",75K,100K,"$87,500",/yr (Employer est.)
CareJourney,4.0,Healthcare,Health Care Services & Hospitals,2015,Unknown / Non-Applicable,Senior Healthcare Data Analyst,"Arlington, VA",79K,114K,"$94,769",/yr (Glassdoor est.)
Memorial Hermann Health System,3.8,Healthcare,Health Care Services & Hospitals,1906,Unknown / Non-Applicable,Sr Data Analyst - Quality-1,"Houston, TX",69K,98K,"$82,554",/yr (Glassdoor est.)
MIT Lincoln Laboratory,4.4,Aerospace & Defense,Aerospace & Defense,1951,Unknown / Non-Applicable,Accelerated Learning Data Scientist,"Lexington, MA",79K,114K,"$94,945",/yr (Glassdoor est.)
Teledyne e2v Semiconductors,3.4,Manufacturing,Transportation Equipment Manufacturing,1999,$1 to $5 billion (USD),Data Scientist,"West Lafayette, IN",71K,100K,"$84,574",/yr (Glassdoor est.)
APCO Worldwide,3.8,Management & Consulting,Business Consulting,1984,$100 to $500 million (USD),"Research Assistant/Analyst, Data Science","Washington, DC",66K,93K,"$78,033",/yr (Glassdoor est.)
Veterans United Home Loans,4.3,Financial Services,Banking & Lending,2002,Unknown / Non-Applicable,Data Scientist,"Columbia, MO",78K,114K,"$94,497",/yr (Glassdoor est.)
Jerry,3.6,Insurance,Insurance Agencies & Brokerages,2017,Unknown / Non-Applicable,Machine Learning Engineer (recent PhD graduate),"Ontario, CA",71K,104K,"$85,551",/yr (Glassdoor est.)
SAIC,4.1,Information Technology,Information Technology Support Services,1969,$5 to $10 billion (USD),Senior Machine Learning Engineer - Generative AI & ML Operations,"Kansas City, MO",80K,112K,"$94,715",/yr (Glassdoor est.)
Intellitrans,4.1,Information Technology,Enterprise Software & Network Solutions,1992,Unknown / Non-Applicable,Data Scientist,"Conway, AR",75K,113K,"$92,424",/yr (Glassdoor est.)
ForeFlight LLC,4.5,Transportation & Logistics,"Airlines, Airports & Air Transportation",,Unknown / Non-Applicable,Sr. Business Intelligence Data Analyst,"Austin, TX",78K,115K,"$94,529",/yr (Glassdoor est.)
Savan,3.9,,,,Unknown / Non-Applicable,(AI) IT PMO Analyst,"Vienna, VA",76K,117K,"$94,389",/yr (Glassdoor est.)
West Virginia University,3.9,Education,Colleges & Universities,1867,$500 million to $1 billion (USD),(Hybrid) Data Scientist - Rockefeller Neuroscience Institute,"Morgantown, WV",55K,87K,"$69,295",/yr (Glassdoor est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"Senior, Data Analyst- eDiscovery Manager","Bentonville, AR",68K,108K,"$85,407",/yr (Glassdoor est.)
"Advocates for Human Potential, Inc.",4.0,Management & Consulting,Business Consulting,,$5 to $25 million (USD),Analyst/Statistician,Remote,63K,90K,"$76,500",/yr (Employer est.)
ICF,3.7,Management & Consulting,Business Consulting,1969,$1 to $5 billion (USD),Generative AI Implementation Specialist (Remote),"Reston, VA",58K,98K,"$77,945",/yr (Employer est.)
Work from Home,2.9,,,,Unknown / Non-Applicable,Machine Learning Operations Manager WFH,"Nashville, TN",67K,107K,"$84,558",/yr (Glassdoor est.)
Jerry,3.6,Insurance,Insurance Agencies & Brokerages,2017,Unknown / Non-Applicable,"Senior Product Analyst, Growth","Tampa, FL",69K,105K,"$85,290",/yr (Glassdoor est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Data Owner Lead - Voice operations,"Chicago, IL",55K,83K,"$67,321",/yr (Glassdoor est.)
Triunity Software,4.9,Information Technology,Information Technology Support Services,2021,$1 to $5 million (USD),Jr AI Developer/ Engineer,"New York, NY",90K,90K,"$90,000",/yr (Employer est.)
2HB Incorporated,5.0,Information Technology,Computer Hardware Development,1994,$1 to $5 million (USD),Data Scientist,"Annapolis Junction, MD",71K,106K,"$86,860",/yr (Glassdoor est.)
Yale University,4.2,Education,Colleges & Universities,1701,$1 to $5 billion (USD),Statistician,"New Haven, CT",71K,107K,"$87,098",/yr (Glassdoor est.)
Allen County Government,4.0,Government & Public Administration,Municipal Agencies,,$1 to $5 million (USD),Assessors Office - Rousseau Centre - Senior Data Analyst,"Fort Wayne, IN",30.62,43.07,$36.85,/hr (Employer est.)
Digital Turbine,3.4,Information Technology,Computer Hardware Development,1998,$1 to $5 billion (USD),Sr Business Data Analyst,"Austin, TX",79K,114K,"$95,019",/yr (Glassdoor est.)
Playrix,3.7,Information Technology,Software Development,2004,Unknown / Non-Applicable,Senior Data Analyst (Soft Launch),"Mobile, AL",61K,98K,"$77,115",/yr (Glassdoor est.)
care.ai,3.6,,,,,AI Engineer,"Orlando, FL",75K,109K,"$92,043",/yr (Employer est.)
Lantheus Medical Imaging Inc,3.6,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2008,$100 to $500 million (USD),"Senior Business Analyst, Master Data Management","Bedford, MA",84K,109K,"$95,609",/yr (Glassdoor est.)
Thermo Fisher Scientific,3.6,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1902,$10+ billion (USD),Generative AI Developer,"Carlsbad, CA",62K,100K,"$78,831",/yr (Glassdoor est.)
AVA Counsulting,3.9,Information Technology,Information Technology Support Services,,$5 to $25 million (USD),Artificial intelligence business system analyst,Remote,40.00,43.00,$41.50,/hr (Employer est.)
Enterprise Knowledge LLC,3.9,Information Technology,Information Technology Support Services,2013,$5 to $25 million (USD),Data Management Analyst,"Arlington, VA",56K,78K,"$66,370",/yr (Glassdoor est.)
Starr Companies,3.3,Insurance,Insurance Carriers,1919,$1 to $5 billion (USD),AI Investment Analyst,"Atlanta, GA",65K,106K,"$83,232",/yr (Glassdoor est.)
New York State Office of the Attorney General,4.2,Government & Public Administration,State & Regional Agencies,,Less than $1 million (USD),Senior Voting Rights Data Analyst,"New York, NY",83K,83K,"$83,478",/yr (Employer est.)
PNC Financial Services Group,3.5,Financial Services,Banking & Lending,1845,$10+ billion (USD),Sr. Data Analyst - Alation,"Pittsburgh, PA",71K,114K,"$90,293",/yr (Glassdoor est.)
AlohaCare,3.0,Healthcare,Health Care Services & Hospitals,1994,Unknown / Non-Applicable,Senior Data Analyst,"Honolulu, HI",60K,80K,"$70,000",/yr (Employer est.)
Springer Nature,4.0,Media & Communication,Publishing,2015,Unknown / Non-Applicable,Postdoctoral Scientist - Zhang Lab - Division of Artificial Intelligence in Medicine (AIM),"Los Angeles, CA",65K,94K,"$79,050",/yr (Employer est.)
RELX,4.1,Information Technology,Information Technology Support Services,1880,$10+ billion (USD),Lead Data Discovery and Enrichment (Hybrid or Remote),"Raleigh, NC",50K,83K,"$64,635",/yr (Glassdoor est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),"Data Engineer, Mid","Norfolk, VA",58K,133K,"$95,650",/yr (Employer est.)
HumanTouch LLC,3.4,Media & Communication,Advertising & Public Relations,1998,$25 to $100 million (USD),Project Manager/ Senior Data Analyst,Patuxent River Naval Air Station,78K,111K,"$92,864",/yr (Glassdoor est.)
ICON plc,3.8,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1990,$1 to $5 billion (USD),Senior Statistical Analyst,"Mexico, MO",76K,114K,"$92,929",/yr (Glassdoor est.)
Gosvea Inc,3.8,,,,,Gosvea-0101 AI Development Engineer,"San Jose, CA",35.00,45.00,$40.00,/hr (Employer est.)
ISO New England Inc.,3.8,"Energy, Mining & Utilities",Energy & Utilities,1997,Unknown / Non-Applicable,Load Forecast Data Scientist,"Holyoke, MA",79K,105K,"$91,054",/yr (Glassdoor est.)
"ADE Consulting, LLC",3.6,,,,Unknown / Non-Applicable,Statistical Programmer,"Sparks, MD",64K,87K,"$75,686",/yr (Employer est.)
ConcertAI,3.4,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2018,Unknown / Non-Applicable,Statistical Analyst,"Cambridge, MA",79K,109K,"$92,883",/yr (Glassdoor est.)
MetLife,3.9,Insurance,Insurance Agencies & Brokerages,1868,$10+ billion (USD),Lead Auditor - Data and AI,"Cary, NC",75K,108K,"$89,900",/yr (Glassdoor est.)
HealthEquity,4.1,Financial Services,Financial Transaction Processing,2001,$100 to $500 million (USD),Sr Fraud Data Analyst,United States,72K,111K,"$91,500",/yr (Employer est.)
General Dynamics Information Technology,3.9,Information Technology,Information Technology Support Services,1996,$10+ billion (USD),Data Visualization Specialist,Indiana,61K,101K,"$80,829",/yr (Employer est.)
Howmet Aerospace,3.2,Aerospace & Defense,Aerospace & Defense,1888,Unknown / Non-Applicable,Machine Learning Engineer,"Whitehall, MI",77K,113K,"$93,197",/yr (Glassdoor est.)
Ascension,3.4,Healthcare,Health Care Services & Hospitals,1902,Unknown / Non-Applicable,Applied Statistician,Remote,85K,85K,"$85,280",/yr (Employer est.)
Johnson & Johnson,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1887,$10+ billion (USD),"Scientist, Data Automation","Malvern, PA",68K,102K,"$83,379",/yr (Glassdoor est.)
University of Kentucky,4.0,Education,Colleges & Universities,1865,$1 to $5 billion (USD),Data Scientist I,"Lexington, KY",51K,85K,"$68,221",/yr (Employer est.)
H-E-B,4.2,Retail & Wholesale,Grocery Stores,1905,$10+ billion (USD),Data Scientist II,"San Antonio, TX",84K,106K,"$94,142",/yr (Glassdoor est.)
Cincinnati Children's Hospital,4.0,Healthcare,Health Care Services & Hospitals,1883,$1 to $5 billion (USD),Analyst II - Data Science,"Cincinnati, OH",75K,109K,"$90,316",/yr (Glassdoor est.)
Anytime Infotech LLC.,3.5,,,,,AI Ops Engineer,"East Moline, IL",43.00,45.00,$44.00,/hr (Employer est.)
"Attorney General, Office of the",3.4,,,,Unknown / Non-Applicable,Senior Voting Rights Data Analyst (CRI/VRS_NYC_SVRDA_6311),"New York, NY",87K,87K,"$86,565",/yr (Employer est.)
Duke Health,3.8,Healthcare,Health Care Services & Hospitals,1998,$1 to $5 billion (USD),DHTS IT ANALYST - Sr. Data Engineer,"Durham, NC",79K,113K,"$94,230",/yr (Glassdoor est.)
W.L. Gore & Associates,3.3,Manufacturing,Machinery Manufacturing,1958,$1 to $5 billion (USD),Clinical Statistical Programmer - Remote,"Flagstaff, AZ",68K,97K,"$81,414",/yr (Glassdoor est.)
Deloitte,4.0,Management & Consulting,Business Consulting,1850,$10+ billion (USD),Data Scientist - GenAI - Solution Specialist - Hybrid,"Philadelphia, PA",79K,111K,"$94,108",/yr (Glassdoor est.)
Bacancy Technology Pvt Ltd,3.8,Information Technology,Information Technology Support Services,2011,$5 to $25 million (USD),AI/ML Developer,"Iselin, NJ",80K,110K,"$95,000",/yr (Employer est.)
Georgia Tech,4.3,Education,Colleges & Universities,1885,$1 to $5 billion (USD),HR Data Analyst (Hybrid),"Atlanta, GA",62K,84K,"$72,709",/yr (Employer est.)
Allredi,2.4,"Construction, Repair & Maintenance Services",Construction,,Unknown / Non-Applicable,Senior Supply Chain Data Analyst,"Pasadena, TX",73K,102K,"$86,060",/yr (Glassdoor est.)
Ohio Shared Information Services Inc,3.8,Nonprofit & NGO,Civic & Social Services,,Unknown / Non-Applicable,Sr. Data Analyst,"Nashville, TN",72K,109K,"$90,500",/yr (Employer est.)
Precision Technologies Corp,4.2,Information Technology,Information Technology Support Services,2008,$5 to $25 million (USD),Training and placement for Generative AI Engineer,"Milltown, NJ",36.00,40.00,$38.00,/hr (Employer est.)
Milestone Marketing Solutions,3.9,,,,Unknown / Non-Applicable,Data Scientist,"O Fallon, MO",90K,100K,"$95,000",/yr (Employer est.)
A-max Insurance Services Inc,3.1,Insurance,Insurance Agencies & Brokerages,2002,Unknown / Non-Applicable,Senior Business Data Analyst,"Dallas, TX",79K,107K,"$91,912",/yr (Glassdoor est.)
Duke University,4.2,Education,Colleges & Universities,1838,$1 to $5 billion (USD),"Data Engineer (Analyst, IT)","Durham, NC",63K,98K,"$78,431",/yr (Glassdoor est.)
Outlier,2.7,Personal Consumer Services,Beauty & Wellness,,$1 to $5 million (USD),"Data Scientists - AI Training (Remote Work, Contract)",Remote,41.00,55.00,$48.00,/hr (Employer est.)
"Wisemen Multimedia, LLC",4.6,,,,Unknown / Non-Applicable,Sr. Workforce Management Data Analyst,"Chamblee, GA",58K,93K,"$73,770",/yr (Glassdoor est.)
Houston Methodist Academic Institute,4.3,Healthcare,Health Care Services & Hospitals,1919,Unknown / Non-Applicable,Research Data Scientist,"Houston, TX",76K,109K,"$91,029",/yr (Glassdoor est.)
Mount Sinai,3.5,Healthcare,Health Care Services & Hospitals,2013,$1 to $5 billion (USD),Data Manager-OB/GYN-13120-001,"New York, NY",66K,99K,"$82,356",/yr (Employer est.)
Hackensack Meridian Health,3.7,Healthcare,Health Care Services & Hospitals,,$5 to $10 billion (USD),Senior Clinical Data Analyst,"Edison, NJ",75K,104K,"$88,088",/yr (Glassdoor est.)
Harford Community College,3.9,Education,Colleges & Universities,1957,Unknown / Non-Applicable,Data Scientist,"Bel Air, MD",61K,79K,"$69,890",/yr (Employer est.)
PMX,3.8,Media & Communication,Advertising & Public Relations,1926,$5 to $10 billion (USD),Data Scientist,"New York, NY",70K,105K,"$87,500",/yr (Employer est.)
Dow,4.1,Manufacturing,Chemical Manufacturing,1897,$10+ billion (USD),Senior Information Technology Analyst (Generative AI Engineer) - Hybrid,"Midland, MI",74K,109K,"$89,716",/yr (Glassdoor est.)
RELX,4.1,Information Technology,Information Technology Support Services,1880,$10+ billion (USD),Manager Data Discovery and Enrichment (Hybrid or Remote),"Raleigh, NC",52K,83K,"$65,606",/yr (Glassdoor est.)
Cox Automotive,4.0,Information Technology,Information Technology Support Services,2014,Unknown / Non-Applicable,Data Scientist I,"Irvine, CA",64K,96K,"$80,300",/yr (Employer est.)
Everi,3.8,Manufacturing,Consumer Product Manufacturing,2015,$500 million to $1 billion (USD),"Mathematician I (HYBRID) Austin, TX or Las Vegas, NV","Austin, TX",70K,75K,"$72,500",/yr (Employer est.)
State of Washington Dept. of Fish and Wildlife,3.7,Government & Public Administration,State & Regional Agencies,1889,$10+ billion (USD),Marine Fisheries Data Analyst - Fish & Wildlife Research Scientist 1 - Non-Permanent - *02734-24,"Port Townsend, WA",6K,8K,"$7,090",/mo (Employer est.)
Home Depot / THD,3.8,Retail & Wholesale,Home Furniture & Housewares Stores,1978,$10+ billion (USD),Senior Data Analyst - Customer Experience - Remote,"Atlanta, GA",63K,91K,"$75,954",/yr (Glassdoor est.)
keasis Inc,3.5,,,,Unknown / Non-Applicable,Junior Data Scientist,"Columbus, OH",40.00,48.00,$44.00,/hr (Employer est.)
Stanford University,4.3,Education,Colleges & Universities,1891,$10+ billion (USD),"Data Scientist, Stanford Law School","Stanford, CA",74K,97K,"$85,500",/yr (Employer est.)
University of Texas at Austin,4.3,Education,Colleges & Universities,1883,$1 to $5 billion (USD),"Data Analyst, Department of Oncology, Dell Medical School (Hybrid)","Austin, TX",70K,70K,"$70,000",/yr (Employer est.)
Yamaha Motor,4.1,Manufacturing,Transportation Equipment Manufacturing,1955,$10+ billion (USD),"Sr. Mgr, Data Science","Marietta, GA",76K,114K,"$92,926",/yr (Glassdoor est.)
NYPD Civilian Jobs,3.3,,,,,Senior Data Analyst,Long Island-Queens,59K,92K,"$75,442",/yr (Employer est.)
Research Foundation of The City University of New York,4.1,Management & Consulting,Research & Development,1963,$100 to $500 million (USD),Research Associate Data Scientist,"New York, NY",79K,85K,"$81,500",/yr (Employer est.)
"Evergreen Technologies, LLC.",5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Associate Statistician -AS24-02516,"Elizabeth, NJ",55K,87K,"$68,755",/yr (Glassdoor est.)
New Jersey Courts,3.8,Government & Public Administration,State & Regional Agencies,,Unknown / Non-Applicable,Statistical Analyst (Administrative Specialist 4),"Trenton, NJ",74K,115K,"$94,457",/yr (Employer est.)
HelioCampus,3.4,Education,Colleges & Universities,2016,Unknown / Non-Applicable,Sr. Data Analyst,"Bethesda, MD",61K,87K,"$72,851",/yr (Glassdoor est.)
Meridiansoft INC,4.1,,,,,DATA Science/ Data Scientist,"Phoenix, AZ",30.00,45.22,$37.61,/hr (Employer est.)
NYPD Civilian Jobs,3.4,,,,,Senior Talent & Data Analyst,Manhattan,59K,90K,"$74,197",/yr (Employer est.)
Idaho National Laboratory,4.1,Management & Consulting,Research & Development,1955,Unknown / Non-Applicable,Nonproliferation Data Science Postdoctoral Research Associate,"Idaho Falls, ID",95K,95K,"$95,004",/yr (Employer est.)
WSP,3.7,,,,$5 to $25 million (USD),Early Career Data Scientist,"Seattle, WA",76K,110K,"$91,524",/yr (Glassdoor est.)
National General Insurance,3.3,Insurance,Insurance Carriers,1920,$1 to $5 billion (USD),ENT-Data Scientist-Anlst III,"Winston-Salem, NC",68K,104K,"$83,757",/yr (Glassdoor est.)
"The Kenjya-Trusant Group, LLC",3.7,Management & Consulting,Business Consulting,2002,$5 to $25 million (USD),(VV) Data Scientist - Level 2 (TS/SCI w/ Poly),"Augusta, GA",65K,102K,"$81,171",/yr (Glassdoor est.)
Booz Allen Hamilton,4.2,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),"Data Scientist, Junior","Shaw AFB, SC",58K,133K,"$95,650",/yr (Employer est.)
Women & Infants Hospital,3.4,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Research Statistician (Research),"Providence, RI",63K,88K,"$74,411",/yr (Glassdoor est.)
Kubota Tractor Corp,3.6,Manufacturing,Machinery Manufacturing,1971,$5 to $10 billion (USD),"Software Engineer, (Artificial Intelligence/Machine Learning) AI/ML","Grapevine, TX",68K,108K,"$85,984",/yr (Glassdoor est.)
The JAAW Group,4.8,,,,Unknown / Non-Applicable,Machine Learning Engineer,"Salt Lake City, UT",70K,100K,"$85,000",/yr (Employer est.)
Johnson & Johnson,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1887,$10+ billion (USD),"Post-Doctoral Scientist, Data Science RWE Advanced Analytics","Raritan, NJ",95K,95K,"$95,000",/yr (Employer est.)
Cognizant Technology Solutions,3.8,Information Technology,Information Technology Support Services,1994,$10+ billion (USD),Software Development/AI specialist,"Warren, MI",66K,98K,"$80,399",/yr (Glassdoor est.)
"Hayward Group, LLC",4.1,,,,Unknown / Non-Applicable,AI/ML Consultant - W2 Role,"Plano, TX",40.00,40.00,$40.00,/hr (Employer est.)
DHL,3.8,Transportation & Logistics,Shipping & Trucking,1969,$10+ billion (USD),Sr Business Data Analyst,"Westerville, OH",75K,106K,"$89,273",/yr (Glassdoor est.)
Bright Vision Technologies,4.1,Media & Communication,Advertising & Public Relations,2013,Less than $1 million (USD),AI/ML Engineer,"Bridgewater, NJ",69K,113K,"$88,304",/yr (Glassdoor est.)
"Abile Group, Inc.",5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Jr. Data Scientist,"Saint Louis, MO",76K,112K,"$92,527",/yr (Glassdoor est.)
"ENSCO, Inc.",4.0,Aerospace & Defense,Aerospace & Defense,1969,$100 to $500 million (USD),Junior Data Scientist,"Fairfax, VA",76K,117K,"$93,990",/yr (Glassdoor est.)
Deloitte,4.0,Management & Consulting,Business Consulting,1850,$10+ billion (USD),Data Extraction Analyst,"Rosslyn, VA",72K,112K,"$89,465",/yr (Glassdoor est.)
Home Chef,3.3,Manufacturing,Consumer Product Manufacturing,2013,Unknown / Non-Applicable,"Sr. Data Analyst, Finance","Chicago, IL",85K,100K,"$92,500",/yr (Employer est.)
MetLife,3.9,Insurance,Insurance Agencies & Brokerages,1868,$10+ billion (USD),Sr. Data Analyst – Infrastructure Security,"Cary, NC",71K,106K,"$87,047",/yr (Glassdoor est.)
Yale University,4.2,Education,Colleges & Universities,1701,$1 to $5 billion (USD),Statistician,"New Haven, CT",68K,107K,"$85,379",/yr (Glassdoor est.)
Community Behavioral Health.,3.2,Healthcare,Health Care Services & Hospitals,1997,$500 million to $1 billion (USD),Sr. Data Analyst,"Philadelphia, PA",76K,84K,"$79,700",/yr (Employer est.)
Lewis and Clark County,3.8,,,,Unknown / Non-Applicable,Epidemiologist,"Helena, MT",34.31,40.37,$37.34,/hr (Employer est.)
Surgere,,Transportation & Logistics,Taxi & Car Services,2004,$5 to $25 million (USD),Business Intelligence Engineer,"Akron, OH",76K,112K,"$92,529",/yr (Glassdoor est.)
QuidelOrtho,3.6,Manufacturing,Health Care Products Manufacturing,1937,$1 to $5 billion (USD),Senior Master Data Analyst (Vendor),"San Diego, CA",65K,118K,"$91,500",/yr (Employer est.)
Lucid Technologies Inc,4.5,Information Technology,Computer Hardware Development,2004,Unknown / Non-Applicable,Generative AI Solutions Developer,"Atlanta, GA",73K,112K,"$90,219",/yr (Glassdoor est.)
Northwestern Mutual,3.9,Financial Services,Investment & Asset Management,1857,$10+ billion (USD),Sr Data Analyst,United States,75K,75K,"$75,180",/yr (Employer est.)
"R1 RCM, Inc.",3.5,Healthcare,Health Care Services & Hospitals,2003,Unknown / Non-Applicable,Data Science Business Analyst,Remote,54K,93K,"$73,594",/yr (Employer est.)
"Multnomah County, OR",3.4,Healthcare,Health Care Services & Hospitals,,$100 to $500 million (USD),SUN Data Analyst Senior,"Portland, OR",40.18,49.40,$44.79,/hr (Employer est.)
Cognowiz solutions LLC,4.7,,,,,Data Scientist,"Herndon, VA",70K,90K,"$80,000",/yr (Employer est.)
Baylor College of Medicine,3.7,Education,Colleges & Universities,1900,$1 to $5 billion (USD),Postdoctoral Associate- Single- Cell and Data Science,"Houston, TX",67K,101K,"$82,146",/yr (Glassdoor est.)
Point32Health,3.3,Insurance,Insurance Carriers,2021,Unknown / Non-Applicable,Senior Business Data Analyst,"Canton, MA",80K,105K,"$91,662",/yr (Glassdoor est.)
New Jersey Courts,3.8,Government & Public Administration,State & Regional Agencies,,Unknown / Non-Applicable,Statistical Analyst (Administrative Specialist 4),"Trenton, NJ",74K,115K,"$94,457",/yr (Employer est.)
BAXTER,3.6,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1931,$10+ billion (USD),Sr Data Analyst,"Deerfield, IL",80K,110K,"$95,000",/yr (Employer est.)
"University of California, Santa Cruz",4.1,Education,Colleges & Universities,1965,$100 to $500 million (USD),Data Scientist,"Monterey, CA",72K,72K,"$71,500",/yr (Employer est.)
Element Fleet Management,3.0,Management & Consulting,Business Consulting,1946,$1 to $5 billion (USD),"Analyst, Data Science and Analytics","Minneapolis, MN",79K,107K,"$92,015",/yr (Glassdoor est.)
The Hartford,3.6,Insurance,Insurance Carriers,1810,$10+ billion (USD),Associate Data Engineer (Hybrid),"Hartford, CT",72K,109K,"$90,500",/yr (Employer est.)
State of Montana,2.8,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Epidemiologist 2,Montana,33.74,33.74,$33.74,/hr (Employer est.)
Center for Alternative,2.8,Nonprofit & NGO,Civic & Social Services,1989,$25 to $100 million (USD),Senior Data Analyst,"Brooklyn, NY",70K,70K,"$70,000",/yr (Employer est.)
Owens & Minor Medical Inc.,3.2,Healthcare,Health Care Services & Hospitals,1882,$10+ billion (USD),Senior HR Data Analyst,"Richmond, VA",72K,102K,"$85,803",/yr (Glassdoor est.)
St. Olaf College,4.2,Education,Colleges & Universities,1874,$100 to $500 million (USD),Statistics and Data Science Grader,"Northfield, MN",68K,98K,"$81,599",/yr (Glassdoor est.)
"CommIT Enterprises, Inc",4.8,Information Technology,Information Technology Support Services,,$5 to $25 million (USD),Senior Data Analyst,"Indian Head, MD",74K,102K,"$86,551",/yr (Glassdoor est.)
State of Minnesota,3.9,Government & Public Administration,State & Regional Agencies,1967,Unknown / Non-Applicable,Data Analyst - Research Analysis Specialist Senior,"Saint Paul, MN",30.55,45.02,$37.79,/hr (Employer est.)
Mount Sinai,3.5,Healthcare,Health Care Services & Hospitals,2013,$1 to $5 billion (USD),"Program Manager II, Research Data Systems - Tisch Cancer Institute","New York, NY",55K,131K,"$93,289",/yr (Employer est.)
Verizon,3.8,Telecommunications,Telecommunications Services,2000,$10+ billion (USD),Military Fellowship-Sr Engineer-Data Science,"Cary, NC",74K,112K,"$91,027",/yr (Glassdoor est.)
Western New Mexico University,3.2,Education,Colleges & Universities,,Less than $1 million (USD),Data Scientist,"Silver City, NM",80K,80K,"$79,560",/yr (Employer est.)
BOEING,3.9,Aerospace & Defense,Aerospace & Defense,1916,$10+ billion (USD),Product Security Engineer-Artificial Intelligence/Machine Learning (Associate or MId-Level),"Hazelwood, MO",74K,110K,"$90,409",/yr (Glassdoor est.)
Polaris Sensor Technologies,3.8,Manufacturing,Electronics Manufacturing,,$1 to $5 million (USD),AI/ML Image Processing Engineer,"Huntsville, AL",67K,103K,"$82,799",/yr (Glassdoor est.)
