employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Castellum Inc,4.2,,,,Unknown / Non-Applicable,"Senior Information Operations Data Scientist (AI, ML)","Arlington, VA",89K,135K,"$109,582",/yr (Glassdoor est.)
Magna International Inc.,3.8,Manufacturing,Transportation Equipment Manufacturing,1957,$10+ billion (USD),Data Scientist,"Lowell, MA",102K,145K,"$122,101",/yr (Glassdoor est.)
NutaNXT Technologies,4.8,,,,Unknown / Non-Applicable,Technical Support Data Engineer,"Santa Clara, CA",83K,118K,"$98,926",/yr (Glassdoor est.)
Cognowiz solutions LLC,4.7,,,,,Data Scientist,"Herndon, VA",70K,70K,"$70,000",/yr (Employer est.)
Nirsense Inc,3.0,,,,,Biomedical Data Scientist,"Richmond, VA",100K,120K,"$110,000",/yr (Employer est.)
PDF Solutions,3.7,Information Technology,Enterprise Software & Network Solutions,1991,$100 to $500 million (USD),Data Scientist,"Santa Clara, CA",120K,160K,"$140,000",/yr (Employer est.)
Bastion Technologies,4.4,Aerospace & Defense,Aerospace & Defense,1998,$25 to $100 million (USD),Orion Navigation Data Scientist,"Houston, TX",88K,138K,"$110,211",/yr (Glassdoor est.)
Advanced Technology and Research Corporation,3.5,Aerospace & Defense,Aerospace & Defense,1973,$5 to $25 million (USD),Digital Signal Processing Engineer/Data Scientist,"Fort Lauderdale, FL",95K,110K,"$102,500",/yr (Employer est.)
LeanPath,4.2,Information Technology,Computer Hardware Development,2004,Unknown / Non-Applicable,Machine Learning Data Scientist,"Beaverton, OR",88K,134K,"$108,985",/yr (Glassdoor est.)
FLEETCOR,3.4,Financial Services,Financial Transaction Processing,2000,$1 to $5 billion (USD),Senior Data Scientist,"Atlanta, GA",106K,144K,"$123,883",/yr (Glassdoor est.)
Capture Higher Ed,3.6,Education,Colleges & Universities,2011,$5 to $25 million (USD),Data Scientist,Remote,92K,111K,"$101,825",/yr (Employer est.)
White Cap,3.5,"Construction, Repair & Maintenance Services",Construction,2020,$1 to $5 billion (USD),Data Scientist,"Norcross, GA",79K,117K,"$95,676",/yr (Glassdoor est.)
GTA (Global Technology Associates),4.7,,,,Unknown / Non-Applicable,Data Scientist,"Reston, VA",91K,126K,"$107,145",/yr (Glassdoor est.)
Soothsayer Analytics,2.9,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Junior Data Scientist,"Livonia, MI",78K,119K,"$96,534",/yr (Glassdoor est.)
Clean Power Research,4.7,Information Technology,Enterprise Software & Network Solutions,1998,Unknown / Non-Applicable,Data Scientist,"Bellevue, WA",84K,120K,"$102,000",/yr (Employer est.)
DATSURA,4.3,,,,,Data Analyst / Data Scientist,"Washington, DC",130K,150K,"$140,000",/yr (Employer est.)
Optimal Solutions Group,3.7,Information Technology,Software Development,2000,$5 to $25 million (USD),Data Scientist Jr.,"College Park, MD",89K,145K,"$113,783",/yr (Glassdoor est.)
Plateau Software Inc,4.4,Telecommunications,"Cable, Internet & Telephone Providers",,$25 to $100 million (USD),Data Scientist,"Tampa, FL",98K,143K,"$118,207",/yr (Glassdoor est.)
OrangePeople,4.1,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD),Machine Learning Infrastructure Engineer,"Sunnyvale, CA",80.00,85.00,$82.50,/hr (Employer est.)
"InnovaSystems, A Cydecor Company",4.2,,,,,Data Scientist,"Arlington, VA",110K,130K,"$120,000",/yr (Employer est.)
"Professional Solutions Delivered, LLC",4.6,Information Technology,Information Technology Support Services,2009,$25 to $100 million (USD),Senior Data Scientist,"Washington, DC",121K,161K,"$139,568",/yr (Glassdoor est.)
U.S. Army DEVCOM Ground Vehicle Systems Center,3.8,Government & Public Administration,National Agencies,1775,Unknown / Non-Applicable,Senior HR Data Analyst,"Warren, MI",96K,148K,"$122,070",/yr (Employer est.)
"Intelliswift Software, Inc.",3.9,Information Technology,Software Development,2001,$100 to $500 million (USD),"Data Scientist, Product Insights","San Francisco, CA",105.63,105.63,$105.63,/hr (Employer est.)
OneZero Solutions,5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist - USSOCOM,"Tampa, FL",91K,132K,"$109,592",/yr (Glassdoor est.)
"CareConnectMD, Inc",2.0,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Data Scientist - Finance & Analytics,"Costa Mesa, CA",90K,129K,"$108,078",/yr (Glassdoor est.)
E Source,3.3,"Energy, Mining & Utilities",Energy & Utilities,1987,Unknown / Non-Applicable,Senior Data Scientist - REMOTE,Remote,103K,157K,"$129,600",/yr (Employer est.)
Intellitrans,4.1,Information Technology,Enterprise Software & Network Solutions,1992,Unknown / Non-Applicable,Data Scientist,"Conway, AR",75K,113K,"$92,424",/yr (Glassdoor est.)
Camgian,4.8,Information Technology,Software Development,2006,$25 to $100 million (USD),Junior Data Scientist,"Starkville, MS",64K,101K,"$80,239",/yr (Glassdoor est.)
Newbold Advisors,4.0,Financial Services,Accounting & Tax,,Unknown / Non-Applicable,Data Scientist | InfoSec Framework,"Pensacola, FL",73.00,76.00,$74.50,/hr (Employer est.)
InMarket,4.4,Media & Communication,Publishing,2010,$100 to $500 million (USD),Data Scientist - Measurement,"North, SC",108K,180K,"$144,179",/yr (Employer est.)
Dataworks,5.0,Information Technology,Information Technology Support Services,2021,$1 to $5 million (USD),Data Scientist,"New York, NY",120K,140K,"$130,000",/yr (Employer est.)
Synkriom Technology Pvt. Ltd.,4.6,Information Technology,Information Technology Support Services,2015,$5 to $25 million (USD),Data Scientist (Data Integrator Exp Need Local),"New Brunswick, NJ",80.00,90.00,$85.00,/hr (Employer est.)
