employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
875,3.8,7,41,1915.0,7,257,99480.0,2,1,0,0,0,0,1,0
773,3.8,15,1,1926.0,8,252,87500.0,2,0,1,0,0,0,1,0
567,4.2,18,8,1887.0,9,156,111036.0,3,1,0,0,0,0,1,0
22,4.0,11,47,1985.0,9,361,115848.0,2,1,0,0,0,0,1,0
77,3.5,11,46,1986.0,0,122,36480.0,2,0,1,0,0,0,1,0
1047,3.4,10,48,2016.0,0,332,192000.0,2,0,1,0,0,0,1,0
19,3.6,10,18,1989.0,9,372,138012.0,2,1,0,0,0,0,1,0
1015,4.0,10,48,1998.0,0,274,108230.0,2,0,1,0,0,0,1,0
620,4.0,10,45,1986.0,0,8,118614.0,2,1,0,0,0,0,1,0
1127,3.2,15,1,1999.0,0,165,87500.0,2,0,1,0,1,0,0,0
430,4.0,11,47,2004.0,8,317,93100.0,2,0,1,0,0,0,1,0
830,4.3,5,49,1950.0,4,311,113500.0,3,0,1,0,0,0,1,0
485,4.0,10,18,1885.0,9,175,100811.0,2,1,0,0,0,0,1,0
572,4.2,18,8,1887.0,9,374,182500.0,3,0,1,0,0,0,1,0
512,4.2,5,0,1986.0,2,114,103197.0,3,1,0,0,0,0,1,0
675,3.9,10,48,2004.0,9,252,169000.0,2,0,1,0,0,0,1,0
572,4.2,18,8,1887.0,9,208,83379.0,3,1,0,0,0,0,1,0
31,3.5,15,1,2012.0,5,252,100000.0,2,0,1,0,0,0,1,0
760,3.8,10,30,1977.0,9,344,136049.0,2,1,0,0,0,0,1,0
284,3.7,14,28,1851.0,9,373,115611.0,2,1,0,0,0,0,1,0
450,4.1,21,81,1927.0,9,180,99810.0,3,1,0,0,0,0,1,0
99,3.8,2,4,1986.0,0,10,142500.0,2,0,1,0,0,0,1,0
347,3.4,18,8,2018.0,0,229,122500.0,2,0,1,0,0,0,1,0
97,4.2,10,18,1976.0,9,18,130271.0,3,1,0,0,0,0,1,0
707,3.7,6,56,1962.0,0,124,135818.0,2,0,1,0,0,0,1,0
133,5.0,10,45,2009.0,3,331,145481.0,3,1,0,0,0,0,1,0
679,4.3,10,18,1975.0,9,308,165200.0,3,0,1,0,0,0,1,0
1129,3.8,22,74,1986.0,7,58,125500.0,2,0,1,1,0,0,0,0
586,4.0,10,48,2012.0,0,41,124727.0,2,1,0,0,0,0,1,0
1100,4.2,3,16,1851.0,0,230,77748.0,3,1,0,0,0,0,1,0
