employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
555,4.7,10,30,2008.0,4,13,103589.0,3,1,0,0,0,0,1,0
754,5.0,10,45,1986.0,0,371,109535.0,3,1,0,0,0,0,1,0
951,4.4,9,70,2012.0,3,312,124800.0,3,0,1,0,0,0,1,0
95,3.7,14,21,2010.0,3,146,121000.0,2,0,1,0,0,0,1,0
709,3.9,10,48,2010.0,0,199,150000.0,2,0,1,0,0,0,1,0
49,3.7,24,77,1986.0,0,10,165000.0,2,0,1,0,0,0,1,0
769,3.7,10,30,1991.0,5,339,140000.0,2,0,1,0,0,0,1,0
511,4.2,24,77,1986.0,0,159,112500.0,3,0,1,0,0,0,1,0
496,4.0,10,48,2017.0,0,103,111705.0,2,1,0,0,0,0,1,0
370,4.1,15,80,1991.0,0,62,152469.0,3,1,0,0,0,0,1,0
1055,3.3,5,6,2019.0,8,68,103550.0,2,1,0,0,0,0,1,0
853,3.5,7,43,2022.0,0,68,107200.0,2,0,1,0,0,0,1,0
675,3.9,10,48,2004.0,9,252,140000.0,2,0,1,0,0,0,1,0
784,3.7,10,48,2009.0,0,252,122500.0,2,0,1,0,0,0,1,0
388,3.5,10,48,1996.0,7,252,190000.0,2,0,1,0,0,0,1,0
17,4.6,10,18,1969.0,3,312,120000.0,3,0,1,0,0,0,1,0
1174,4.1,10,48,2006.0,5,252,152375.0,3,0,1,0,0,0,1,0
825,4.6,10,45,2009.0,4,394,139568.0,3,1,0,0,0,0,1,0
26,5.0,10,45,1986.0,0,360,97529.0,3,1,0,0,0,0,1,0
548,4.1,10,30,1992.0,0,84,92424.0,3,1,0,0,0,0,1,0
1122,4.2,10,45,2010.0,0,167,91384.0,3,1,0,0,0,0,1,0
211,4.0,21,20,1889.0,0,97,112454.0,2,1,0,0,0,0,1,0
217,4.2,24,77,1986.0,0,13,109582.0,3,1,0,0,0,0,1,0
1154,3.6,10,18,1970.0,9,228,154642.0,2,1,0,0,0,0,1,0
1156,3.3,23,3,2013.0,5,384,170000.0,2,0,1,0,0,0,1,0
543,4.0,6,56,1986.0,0,217,131751.0,2,1,0,0,0,0,1,0
872,3.7,24,77,1986.0,0,312,129600.0,2,0,1,0,1,0,0,0
1033,5.0,24,77,1986.0,1,217,125279.0,3,1,0,0,0,0,1,0
185,3.1,21,25,1972.0,8,105,110000.0,2,0,1,0,0,0,1,0
988,3.7,22,74,2001.0,9,29,132000.0,2,0,1,0,0,0,1,0
851,4.0,10,45,1986.0,0,164,106755.0,2,1,0,0,0,0,1,0
720,3.8,11,47,2016.0,0,274,149823.0,2,1,0,0,0,0,1,0
619,4.1,11,46,1966.0,7,94,123627.0,3,1,0,0,0,0,1,0
578,3.8,14,33,1906.0,8,21,109639.0,2,1,0,0,0,0,1,0
38,3.6,10,48,2014.0,8,331,153564.0,2,1,0,0,0,0,1,0
541,4.9,10,45,2011.0,2,384,110400.0,3,0,1,0,0,0,1,0
921,4.2,12,50,1866.0,7,73,147171.0,3,1,0,0,0,0,1,0
292,4.2,10,30,2011.0,6,312,145000.0,3,0,1,0,0,0,1,0
385,4.4,21,81,2017.0,0,312,217000.0,3,0,1,0,0,0,1,0
315,4.0,13,12,1850.0,9,94,113366.0,2,1,0,0,0,0,1,0
836,3.9,10,18,1986.0,3,394,119132.0,2,1,0,0,0,0,1,0
300,4.6,13,12,2005.0,4,13,102778.0,3,1,0,0,0,0,1,0
939,3.9,10,18,2018.0,0,368,150221.0,2,1,0,0,0,0,1,0
871,3.0,24,77,1986.0,0,312,112500.0,1,0,1,0,0,0,1,0
195,3.1,7,41,1963.0,9,396,129008.0,2,0,1,0,0,0,1,0
1056,4.1,10,30,2014.0,0,199,77500.0,3,0,1,0,0,0,1,0
505,4.1,10,18,1968.0,9,285,154271.0,3,0,1,0,0,0,1,0
1053,4.7,24,77,1986.0,0,315,136610.0,3,1,0,0,0,0,1,0
906,4.3,4,29,1836.0,9,202,110474.0,3,1,0,0,0,0,1,0
256,3.6,4,29,1986.0,7,157,99291.0,2,1,0,0,0,0,1,0
796,3.6,10,45,2017.0,8,0,112000.0,2,0,1,0,0,0,1,0
157,3.3,10,68,2001.0,6,384,143350.0,2,0,1,0,0,0,1,0
91,4.0,7,41,1986.0,2,126,85517.0,2,1,0,0,0,0,1,0
1190,3.2,14,21,1977.0,7,276,108620.0,2,1,0,0,0,0,1,0
450,4.1,21,81,1927.0,9,180,98911.0,3,1,0,0,0,0,1,0
812,3.7,5,6,1991.0,5,333,82980.0,2,1,0,0,0,0,1,0
944,4.1,23,3,1967.0,9,94,183950.0,3,0,1,0,0,0,1,0
441,3.4,4,29,1933.0,9,391,147222.0,2,1,0,0,0,0,1,0
658,3.8,7,41,1986.0,9,320,106675.2,2,0,1,0,1,0,0,0
1037,4.1,11,47,1853.0,9,143,142550.0,3,0,1,0,0,0,1,0
1184,2.4,15,1,2000.0,0,252,105000.0,1,0,1,0,0,0,1,0
390,3.8,6,56,1908.0,0,75,93234.0,2,1,0,0,0,0,1,0
150,4.0,14,17,2012.0,4,397,100000.0,2,0,1,0,0,0,1,0
710,4.2,10,48,1997.0,8,200,164645.0,3,1,0,0,0,0,1,0
116,4.3,10,18,2017.0,0,29,95000.0,3,0,1,0,0,0,1,0
381,3.7,5,32,1968.0,8,41,109136.0,2,1,0,0,0,0,1,0
255,3.8,10,48,1986.0,0,312,218000.0,2,0,1,0,0,0,1,0
924,3.5,21,57,1910.0,8,85,125168.0,2,1,0,0,0,0,1,0
942,4.1,3,16,1911.0,0,94,103668.0,3,1,0,0,0,0,1,0
795,3.5,10,30,2010.0,3,121,106121.0,2,1,0,0,0,0,1,0
1083,3.9,23,3,1926.0,9,73,106982.0,2,1,0,0,0,0,1,0
1117,3.7,5,49,1975.0,0,208,127727.0,2,1,0,0,0,0,1,0
789,4.6,24,77,1986.0,0,273,103085.0,3,1,0,0,0,0,1,0
173,4.3,10,45,2007.0,0,360,121848.0,3,1,0,0,0,0,1,0
1133,4.3,10,30,2013.0,0,412,84210.0,3,1,0,0,0,0,1,0
364,3.9,5,6,2004.0,7,73,114200.0,2,1,0,0,0,0,1,0
