employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
1,5.0,10,18,1994.0,2,10,71000.0,106000.0,86860.0,3,1,0,0,0,0,1,0
103,3.7,13,11,2015.0,0,302,120000.0,120000.0,120000.0,2,0,1,0,0,0,1,0
1018,3.1,15,1,2001.0,5,371,107000.0,162000.0,134500.0,2,0,1,0,0,0,1,0
1196,4.2,24,77,1986.0,1,313,154000.0,163000.0,158546.0,3,0,1,0,0,0,1,0
441,3.9,10,45,1986.0,4,316,75000.0,108000.0,89850.0,2,1,0,0,0,0,1,0
1003,3.5,7,41,1986.0,0,313,100000.0,130000.0,115000.0,2,0,1,0,1,0,0,0
230,3.2,7,41,1986.0,0,253,144000.0,198000.0,171000.0,2,0,1,0,0,0,1,0
986,4.6,10,45,2015.0,3,248,153600.0,172800.0,163200.0,3,0,1,0,0,0,1,0
242,3.6,10,68,1998.0,5,253,90000.0,110000.0,100000.0,2,0,1,0,0,0,1,0
260,3.7,24,77,1986.0,0,151,70000.0,70000.0,70000.0,2,0,1,0,0,0,1,0
235,3.1,7,41,2009.0,4,253,118000.0,148000.0,132903.0,2,0,1,0,0,0,1,0
917,3.7,21,23,1952.0,8,288,53000.0,82000.0,66320.0,2,1,0,0,1,0,0,0
1008,4.5,24,77,1986.0,0,313,96000.0,96000.0,96000.0,3,0,1,0,1,0,0,0
291,4.9,13,12,2015.0,0,313,100000.0,110000.0,105000.0,3,0,1,0,0,0,1,0
161,3.3,10,18,1986.0,0,313,120000.0,135000.0,127500.0,2,0,1,0,0,0,1,0
642,2.4,23,73,1980.0,3,104,99000.0,134000.0,114893.0,1,1,0,0,0,0,1,0
75,5.0,24,77,2017.0,3,287,73000.0,108000.0,89084.0,3,1,0,0,0,0,1,0
1190,3.9,17,7,2008.0,0,341,90000.0,103000.0,96250.0,2,0,1,0,0,0,1,0
1017,4.6,10,68,2020.0,0,285,85000.0,115000.0,100000.0,3,0,1,0,0,0,1,0
959,4.0,24,77,1986.0,0,191,85000.0,140000.0,112500.0,2,0,1,0,0,0,1,0
604,3.2,9,39,1986.0,0,414,80000.0,150000.0,115000.0,2,0,1,0,1,0,0,0
800,4.5,24,77,1986.0,0,313,115000.0,115000.0,115000.0,3,0,1,0,1,0,0,0
2,2.4,9,39,1986.0,2,337,109000.0,159000.0,131465.0,1,1,0,0,0,0,1,0
155,3.8,24,77,1986.0,0,41,92000.0,143000.0,114596.0,2,1,0,0,0,0,1,0
633,5.0,24,77,1986.0,0,384,110000.0,210000.0,160000.0,3,0,1,0,0,0,1,0
1099,3.3,7,41,1984.0,7,262,97000.0,149000.0,120058.0,2,1,0,0,0,0,1,0
