employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician,average_base_salary
994,3.5,6,71,1835.0,0,18,100000.0,135000.0,2,0,1,0,0,0,1,0,117251.0
913,5.0,10,45,1986.0,0,313,180000.0,210000.0,3,0,1,0,0,0,1,0,195000.0
154,3.3,24,77,1986.0,0,73,86000.0,124000.0,2,1,0,0,0,0,1,0,103389.0
1192,3.9,7,41,2010.0,0,369,100000.0,140000.0,2,0,1,0,1,0,0,0,120000.0
1082,3.9,3,27,2010.0,0,332,144000.0,198000.0,2,0,1,0,0,0,1,0,171000.0
41,5.0,24,77,1986.0,0,313,105600.0,115200.0,3,0,1,0,1,0,0,0,110400.0
439,5.0,24,77,1986.0,0,185,85000.0,124000.0,3,1,0,0,0,0,1,0,102971.0
626,4.8,5,0,1986.0,2,206,75000.0,116000.0,3,1,0,0,0,0,1,0,92958.0
154,4.1,24,77,1986.0,0,73,86000.0,124000.0,3,1,0,0,0,0,1,0,103389.0
98,4.2,10,18,1976.0,9,93,139000.0,257000.0,3,0,1,1,0,0,0,0,197700.0
1128,3.2,15,1,1999.0,0,166,75000.0,100000.0,2,0,1,0,1,0,0,0,87500.0
674,3.6,10,30,2015.0,0,73,87000.0,119000.0,2,1,0,0,0,0,1,0,101671.0
521,3.6,10,18,1986.0,0,125,88000.0,133000.0,2,1,0,0,0,0,1,0,108270.0
936,4.0,10,30,2012.0,7,29,214000.0,328000.0,2,0,1,1,0,0,0,0,270875.0
616,4.3,0,2,2004.0,5,22,82000.0,117000.0,3,1,0,0,0,0,1,0,97703.0
631,4.4,3,16,1861.0,7,56,110000.0,125000.0,3,0,1,0,0,0,1,0,117500.0
679,3.7,10,18,1978.0,9,166,205000.0,375000.0,2,0,1,0,0,0,1,0,290000.0
1048,3.4,10,48,2016.0,0,333,144000.0,240000.0,2,0,1,0,0,0,1,0,192000.0
922,4.2,12,50,1866.0,7,73,125000.0,174000.0,3,1,0,0,0,0,1,0,147171.0
856,4.0,24,77,1986.0,0,391,98000.0,135000.0,2,0,1,0,0,0,1,0,116500.0
1090,4.1,3,16,1885.0,7,382,76000.0,98000.0,3,0,1,0,1,0,0,0,86871.0
1108,3.5,24,77,1986.0,0,278,75000.0,100000.0,2,0,1,0,0,0,1,0,87500.0
1196,4.2,24,77,1986.0,1,313,154000.0,163000.0,3,0,1,0,0,0,1,0,158546.0
228,3.3,18,8,1947.0,7,254,50000.0,50000.0,2,0,1,0,1,0,0,0,50000.0
98,4.2,10,18,1976.0,9,18,122000.0,170000.0,3,1,0,0,0,0,1,0,144128.0
266,4.2,3,16,1877.0,6,121,73000.0,80000.0,3,0,1,0,0,0,1,0,76500.0
985,3.8,6,56,2016.0,0,193,72000.0,111000.0,2,1,0,0,0,0,1,0,89179.0
1187,3.6,24,77,1986.0,0,274,75000.0,109000.0,2,0,1,1,0,0,0,0,92043.0
622,4.2,13,12,1961.0,5,395,97000.0,143000.0,3,1,0,0,0,0,1,0,117278.0
1185,2.4,15,1,2000.0,0,253,170000.0,220000.0,1,0,1,1,0,0,0,0,195000.0
344,4.3,13,12,1972.0,5,159,53000.0,73000.0,3,1,0,0,0,0,1,0,62609.0
598,5.0,24,77,1986.0,0,313,144000.0,153600.0,3,0,1,0,0,0,1,0,148800.0
170,4.2,13,12,1914.0,8,385,73000.0,166000.0,3,0,1,0,0,0,1,0,119500.0
1094,4.1,3,16,1965.0,5,237,72000.0,72000.0,3,0,1,0,0,0,1,0,71500.0
446,3.8,24,77,1986.0,0,333,67200.0,86400.0,2,0,1,0,0,0,1,0,76800.0
727,3.4,4,29,1987.0,7,82,91000.0,137000.0,2,0,1,0,0,0,1,0,113800.0
355,4.9,10,45,1986.0,3,361,101000.0,141000.0,3,1,0,0,0,0,1,0,119272.0
1070,4.2,23,73,2003.0,2,329,73000.0,134000.0,3,0,1,0,0,0,0,1,103494.0
961,4.3,3,16,1891.0,9,363,72000.0,126000.0,3,0,1,0,0,0,1,0,99000.0
238,3.5,7,41,1970.0,6,254,107000.0,145000.0,2,1,0,0,0,0,1,0,124541.0
506,4.1,10,18,1968.0,9,153,187000.0,280000.0,3,0,1,0,0,0,1,0,233162.0
262,3.3,10,18,2019.0,0,41,195000.0,195000.0,2,0,1,1,0,0,0,0,195000.0
261,4.5,15,1,1986.0,0,246,44000.0,75000.0,3,1,0,0,0,0,1,0,57601.0
